Train Index,Test Index,Hash
5008,2075,e777922f14273159776a089a6f44d2bbb03f23a2b618f0914ef7ca442e770396
5025,4149,d91a18f5a643aaf3569387641a6f40a92ec82a32a27a532625414dbaf48b4d25
5032,6188,eadb8e0cd40606bb3e6c58f710abb4d9769e43b43724ef764e7a74a4d179fff4
5041,4228,5c1dee15a65d67508008125e0f1085382084a860e491c10f0f6c15d7c7d06a36
5045,6029,f4197466cd0d97da2a2b079bc7458d7af8d1c89a7178d30d14668364037d165a
5062,4980,82a4e1da419ea969f5bc07f9664e8974dee8c8161334d0ad9abc89f9545e8f41
5071,7166,b445c22c7f8505e1ac09d6efa5b756daac42da5ae70acd8d672b9c164c4c8bbc
5072,7091,9fb660ef9603189ca18787bcf60966bc8cb07f6ad121eeb3602cb543a5123830
5073,2803,7e3753d43ea8769a2818d947feea2beb84cf5e3cb090d5b31c820e6f6f4f0d8a
5092,6820,c360dd72cb9f9056302cafbc2f5ccfe9de66fddac0b8ed4d91ce93996dd98503
5108,5761,03a02e10956c65799a5f5d082d61cbaf1de414773c7c025da8bfbc5553c6fdf0
5121,2143,8e98699fcf6ec4e0b8765866248e7702c2f26f9fe2d1f469eeb0f51f54bb5afb
5129,1287,363360e93d8997c1138d1e4a0fde65b7b08befd496b450df72989aac5e5b4edb
5139,3879,b2fa77caa967437f1a85c6071b2345d420da69780036d44f761591ad6d213ff6
5143,4701,29b8233f6d9a24cfbbdd83f23c838d59b1a113ada232c0991bd63e1fa97c533e
5165,6844,46f4be3edd44d770964fb27f6777e77f5a93d1623921c9d630f9454908f9e2ac
5169,4665,ee864c70c6d01868bcde6eb61261c33057f39efbe9197a7590aed629a4215bae
5172,461,aa81e6c7a9a3c597b331abd352271f91eb4f1129b41cffd164b35371c41a8217
5188,2893,0da766b7fe175d6cb8328437019e4fa2d87f4878cdb09e9b2d001fe6374a100e
5191,4131,b909207b8b5822d2a2197ab4563fc32def9b9d04934285928a0ad6f08d1de9f4
5197,6931,013a41f75629ce371fbbec3f9a845aa5ec3e615819a4e4ae67b3dbe0d70ece0d
5214,991,9a3201824495feabca12e1ef2339c410ff1f30c412ff35d85743bcd16f6bcabc
5226,196,7309f100d4dc411520175d905e2cdebdd3ace6422ec0310efb61f7a93052402b
5229,4913,8cec1b4220615ddf9eb076fb0e41d6a2b0ad883da51e53fef86cc8fc8eed7509
5238,7101,dd2aa59bfe743d52df7967627dbb1b7f0eff7aad15c88c5c2db8390682406c20
5265,2678,87d34a690aed539110323a26ff4adf7e280935d7362a906e186b5631665a2341
5284,2579,3b6f76084645544c1479136443c9eebf8db54e5d31ac3db2d2927c2df2afa55c
5290,7704,2a36a6ec2a15e1add941acff95f93a441c42c0a0c53b5d060d3ece7c92a01801
5292,7659,5d738d98e64dd27db7733bef10851fc2e8da09765656e15569e557245b2f396c
5306,6365,adec1637530685bb2f480ce505cdd299222700f6c21c8f450f2a27b198a72e75
5310,1095,fbc8374dac9a0595a9e0f1fc8b2bbd943f09b9d0a8193b4a7118c4078a736e51
5315,2378,d56a7ae3bf612cedba904af35c1aac30d9916339f7c8f2618e027d3acd85193d
5327,1235,28eb01259a3436808c6156cfc39e0c1501e1407f7f955306a81f8f39271e6d0e
5354,1492,ff41cef450c7a6c2f4d2c1036b49b377fb32b107b8a9b7eb62e788bcb98de37f
5360,6508,c668ce5c42b53abcc86b2eae447b2e41f239ef517287d8e118bdbb0b0ea2286e
5393,1839,0f70e4d4189ce69a6106b536d14405e9397cc106e2e36bce43a47d0d83c29e51
5401,2370,3f856aad1b4c5eae04dfb411fabae466a5ab4a4eb8c85da71cfae843633fe708
5429,7313,fa4b599c271fbce2c6efa6e5409fe6d7bb03de9b147be5d9f7ff12f50ed79517
5434,3441,f5fb4dd063729bf28135395de0e1d0fab68c6f6d302a8845f01ae3f064888286
5457,7805,37e1909b8e58223a87a38849d2aad7f1534b20d04f8bc434ced8983c7cac421b
5470,3087,2784ddead288f80a91fb4d1f0e59591adf04032b03b37e72a242cf561c456ab5
5474,7163,854502dc1f57145503d1caf4fefda6844441a254f4cd44af4eb361ee37c15844
5488,5462,eb228d4e9822a1b593d1c3de189a1c09462e2126dcf1a8d79d0f15a0c8db7cf7
5496,1878,4c05b49d4da31d0dfffcb9f55bb09b63a2cb5355cd64d6428947d759d19e498c
5506,3072,2ef87f2ee81e7524fe1643cef09f296ce90bda9f9ad3ed3c3a60e5e74dc18e22
5509,7854,689d499a53dfa3238c69cf85878459ced18bb38c012b43962b1216d402e30752
5544,3317,584f9b0edc0d032d7c218570c8a4f0f88c426805b7f2324b876a6c9b2ad29c2a
5545,4817,642e1436225f54ef1e841e571ca741c18fd321d312787f3f790776f227de877e
5556,6914,f8385ae7d4185dd0688d0b01ef4fb12d69e9fa919b585fc594919b09e305cbd7
5581,2489,c0f452a2ddc42bd90730c35652b670351deb5b54c26e2c4b34446c2a4df50c79
5584,7604,bbf4281a0d13b7d209dcc1ccb51282c3fa5d5c2c959fd45f7ffdd379d0434bd2
5604,3420,ac9ffcff12ed4df9c88050efb042ea7fe4a631d4e26b12d5a9e918004262cd8a
5622,7694,8edbacc1a833838bd08540806ea9a45fb1f9100b47a31a5297441e2185b4eb61
5625,892,39c861172c11552139f5fdc9e89aa32ae3acfb7d6c0915d03b020c2da007752a
5647,7215,8a5642c7b96fc44aaa104538bba908f2a9336b31e24dc142f4cfcc822b13ddcf
5653,1459,bfefe831506ed98bf23d6c2c67ddd978626748c678355211e129795a59cea2dd
5683,1226,17987b807c8784bdd84403ca1c68a4f8b0d2d62eaff0fe6ff6cca1c4b372a786
5687,858,9e811558ce28144d70340df41e2883f644345adc3b2ab6c5453395d7b7a61357
5696,7018,8533935ea4eefbc29b1b90318f9c22e0cd771c132fce65cf95e047c668bb9391
